Presidents,negative,neutral,positive
deKlerk,0.23711340206185566,0.31958762886597936,0.44329896907216493
Mandela,0.21843207660083783,0.2244165170556553,0.5571514063435069
Mbeki,0.1677096370463079,0.2557363370880267,0.5765540258656654
 Motlanthe,0.20833333333333334,0.2159090909090909,0.5757575757575758
Zuma,0.15557246101179156,0.37314568276911375,0.4712818562190947
Ramaphosa,0.20096533567354102,0.2808249232119351,0.5182097411145239
