Presidents,Tokens
Mandela,legitimacy
Mandela,elaborated
Mandela,programme
Mandela,inspired
Mandela,hope
Mandela,south
Mandela,african
Mandela,goodwill
Mandela,could
Mandela,join
Mandela,together
Mandela,provide
Mandela,better
Mandela,life
Mandela,pleased
Mandela,political
Mandela,organisation
Mandela,announced
Mandela,similar
Mandela,aim
Mandela,today
Mandela,happy
Mandela,announce
Mandela,cabinet
Mandela,government
Mandela,national
Mandela,unity
Mandela,reached
Mandela,consensus
Mandela,broad
Mandela,objective
Mandela,creation
Mandela,people-centred
Mandela,society
Mandela,spoken
Mandela,also
Mandela,many
Mandela,element
Mandela,plan
Mandela,broadly
Mandela,based
Mandela,programme
Mandela,reconstruction
Mandela,development
Mandela,let
Mandela,indicate
Mandela,important
Mandela,agreement
Mandela,annually
Mandela,combined
Mandela,budget
Mandela,central
Mandela,government
Mandela,province
Mandela,provide
Mandela,increasing
Mandela,amount
Mandela,funding
Mandela,plan
Mandela,start
Mandela,appropriation
Mandela,billion
Mandela,budget
Mandela,presented
Mandela,next
Mandela,month
Mandela,rise
Mandela,billion
Mandela,fifth
Mandela,year
Mandela,life
Mandela,government
Mandela,government
Mandela,also
Mandela,use
Mandela,allocation
Mandela,fund
Mandela,reconstruction
Mandela,development
Mandela,plan
Mandela,exert
Mandela,maximum
Mandela,leverage
Mandela,marshalling
Mandela,fund
Mandela,within
Mandela,south
Mandela,africa
Mandela,abroad
Mandela,regard
Mandela,pleased
Mandela,report
Mandela,holding
Mandela,consultation
Mandela,principal
Mandela,business
Mandela,leader
Mandela,country
Mandela,consequently
Mandela,assured
Mandela,business
Mandela,sector
Mandela,make
Mandela,significant
Mandela,contribution
Mandela,towards
Mandela,structuring
Mandela,management
Mandela,reconstruction
Mandela,development
Mandela,fund
Mandela,towards
Mandela,effective
Mandela,identification
Mandela,implementation
Mandela,project
Mandela,supporting
Mandela,financing
Mandela,socio-economic
Mandela,development
Mandela,effort
Mandela,also
Mandela,pleased
Mandela,report
Mandela,many
Mandela,friend
Mandela,abroad
Mandela,already
Mandela,made
Mandela,commitment
Mandela,assist
Mandela,u
Mandela,generate
Mandela,reconstruction
Mandela,development
Mandela,fund
Mandela,need
Mandela,thank
Mandela,sincerely
Mandela,positive
Mandela,attitude
Mandela,arises
Mandela,objective
Mandela,charity
Mandela,desire
Mandela,express
Mandela,solidarity
Mandela,new
Mandela,society
Mandela,seek
Mandela,build
Mandela,accept
Mandela,duty
Mandela,coordinating
Mandela,management
Mandela,total
Mandela,resource
Mandela,generated
Mandela,without
Mandela,seeking
Mandela,prescribe
Mandela,contributor
Mandela,undermining
Mandela,continued
Mandela,role
Mandela,non-governmental
Mandela,organisation
Mandela,community-based
Mandela,organisation
Mandela,initial
Mandela,billion
Mandela,found
Mandela,saving
Mandela,redirection
Mandela,spending
Mandela,included
Mandela,preliminary
Mandela,budget
Mandela,proposal
Mandela,presented
Mandela,cabinet
Mandela,would
Mandela,like
Mandela,thank
Mandela,department
Mandela,state
Mandela,cooperation
Mandela,carrying
Mandela,adjustment
Mandela,planning
Mandela,short
Mandela,notice
Mandela,allocate
Mandela,larger
Mandela,amount
Mandela,future
Mandela,shall
Mandela,require
Mandela,adjustment
Mandela,department
Mandela,partly
Mandela,correct
Mandela,bias
Mandela,spending
Mandela,pattern
Mandela,legacy
Mandela,past
Mandela,longer
Mandela,period
Mandela,shall
Mandela,allow
Mandela,change
Mandela,properly
Mandela,planned
Mandela,still
Mandela,make
Mandela,great
Mandela,demand
Mandela,managerial
Mandela,capacity
Mandela,spirit
Mandela,cooperation
Mandela,cabinet
Mandela,whole
Mandela,civil
Mandela,service
Mandela,confident
Mandela,motivated
Mandela,desire
Mandela,serve
Mandela,people
Mandela,public
Mandela,service
Mandela,discharge
Mandela,responsibility
Mandela,diligence
Mandela,sensitivity
Mandela,enthusiasm
Mandela,among
Mandela,thing
Mandela,paying
Mandela,attention
Mandela,important
Mandela,goal
Mandela,increasing
Mandela,efficiency
Mandela,productivity
Mandela,government
Mandela,equally
Mandela,committed
Mandela,ensure
Mandela,use
Mandela,longer
Mandela,period
Mandela,properly
Mandela,fully
Mandela,bring
Mandela,decision-making
Mandela,process
Mandela,organ
Mandela,civil
Mandela,society
Mandela,include
Mandela,trade
Mandela,union
Mandela,movement
Mandela,civic
Mandela,organisation
Mandela,time
Mandela,government
Mandela,become
Mandela,isolated
Mandela,people
Mandela,time
Mandela,step
Mandela,taken
Mandela,build
Mandela,capacity
Mandela,community
Mandela,manage
Mandela,affair
Mandela,precisely
Mandela,committed
Mandela,ensuring
Mandela,sustainable
Mandela,growth
Mandela,development
Mandela,leading
Mandela,better
Mandela,life
Mandela,continue
Mandela,existing
Mandela,programme
Mandela,fiscal
Mandela,rehabilitation
Mandela,therefore
Mandela,determined
Mandela,make
Mandela,every
Mandela,effort
Mandela,contain
Mandela,real
Mandela,general
Mandela,government
Mandela,consumption
Mandela,present
Mandela,level
Mandela,manage
Mandela,budget
Mandela,deficit
Mandela,view
Mandela,continuous
Mandela,reduction
Mandela,similarly
Mandela,agreed
Mandela,permanently
Mandela,higher
Mandela,general
Mandela,level
Mandela,taxation
Mandela,avoided
Mandela,achieve
Mandela,important
Mandela,objective
Mandela,require
Mandela,consistent
Mandela,discipline
Mandela,part
Mandela,central
Mandela,provincial
Mandela,government
Mandela,furthermore
Mandela,disciplined
Mandela,approach
Mandela,ensure
Mandela,integrate
Mandela,objective
Mandela,reconstruction
Mandela,development
Mandela,plan
Mandela,within
Mandela,government
Mandela,expenditure
Mandela,treat
Mandela,incidental
Mandela,task
Mandela,government
Mandela,marginalised
Mandela,status
Mandela,mere
Mandela,addition
Mandela,level
Mandela,expenditure
Mandela,major
Mandela,area
Mandela,desperate
Mandela,need
Mandela,society
Mandela,signal
Mandela,seriousness
Mandela,address
Mandela,government
Mandela,within
Mandela,next
Mandela,day
Mandela,implement
Mandela,various
Mandela,project
Mandela,direct
Mandela,supervision
Mandela,president
Mandela,let
Mandela,briefly
Mandela,mention
Mandela,child
Mandela,age
Mandela,six
Mandela,pregnant
Mandela,mother
Mandela,receive
Mandela,free
Mandela,medical
Mandela,care
Mandela,every
Mandela,state
Mandela,hospital
Mandela,clinic
Mandela,need
Mandela,exists
Mandela,similarly
Mandela,nutritional
Mandela,feeding
Mandela,scheme
Mandela,implemented
Mandela,every
Mandela,primary
Mandela,school
Mandela,need
Mandela,established
Mandela,concrete
Mandela,process
Mandela,consultation
Mandela,major
Mandela,stakeholder
Mandela,area
Mandela,organised
Mandela,immediately
Mandela,programme
Mandela,already
Mandela,implemented
Mandela,electrify
Mandela,home
Mandela,current
Mandela,financial
Mandela,year
Mandela,campaign
Mandela,launched
Mandela,every
Mandela,level
Mandela,government
Mandela,public
Mandela,work
Mandela,programme
Mandela,designed
Mandela,effort
Mandela,made
Mandela,involve
Mandela,private
Mandela,sector
Mandela,organised
Mandela,labour
Mandela,civics
Mandela,community
Mandela,organisation
Mandela,rebuild
Mandela,township
Mandela,restore
Mandela,service
Mandela,rural
Mandela,urban
Mandela,area
Mandela,addressing
Mandela,issue
Mandela,job
Mandela,creation
Mandela,training
Mandela,especially
Mandela,unemployed
Mandela,youth
Mandela,many
Mandela,detail
Mandela,overall
Mandela,reconstruction
Mandela,development
Mandela,plan
Mandela,remain
Mandela,discussed
Mandela,agreed
Mandela,put
Mandela,place
Mandela,believe
Mandela,broad
Mandela,outline
Mandela,given
Mandela,immediate
Mandela,initiative
Mandela,mentioned
Mandela,allow
Mandela,share
Mandela,joy
Mandela,progress
Mandela,already
Mandela,made
Mandela,government
Mandela,national
Mandela,unity
Mandela,regard
Mandela,important
Mandela,matter
Mandela,shall
Mandela,carry
Mandela,plan
Mandela,within
Mandela,context
Mandela,policy
Mandela,aimed
Mandela,building
Mandela,strong
Mandela,growing
Mandela,economy
Mandela,benefit
Mandela,people
Mandela,would
Mandela,like
Mandela,deal
Mandela,matter
Mandela,regard
Mandela,support
Mandela,sustainable
Mandela,economic
Mandela,growth
Mandela,macro-economic
Mandela,objective
Mandela,government
Mandela,remain
Mandela,primary
Mandela,objective
Mandela,monetary
Mandela,policy
Mandela,promote
Mandela,maintain
Mandela,overall
Mandela,financial
Mandela,stability
Mandela,reserve
Mandela,bank
Mandela,important
Mandela,function
Mandela,protecting
Mandela,value
Mandela,currency
Mandela,striving
Mandela,relative
Mandela,price
Mandela,stability
Mandela,time
Mandela,pleased
Mandela,dr
Mandela,chris
Mandela,stals
Mandela,continue
Mandela,serve
Mandela,governor
Mandela,reserve
Mandela,bank
Mandela,battle
Mandela,reduce
Mandela,rate
Mandela,inflation
Mandela,continue
Mandela,realisation
Mandela,many
Mandela,objective
Mandela,fair
Mandela,equal
Mandela,treatment
Mandela,people
Mandela,possible
Mandela,unless
Mandela,succeed
Mandela,avoiding
Mandela,high
Mandela,inflation
Mandela,economy
Mandela,also
Mandela,face
Mandela,major
Mandela,challenge
Mandela,re-entering
Mandela,global
Mandela,economy
Mandela,stable
Mandela,price
Mandela,vital
Mandela,restructuring
Mandela,industry
Mandela,dealing
Mandela,critical
Mandela,issue
Mandela,job-creation
Mandela,blessed
Mandela,heritage
Mandela,sophisticated
Mandela,financial
Mandela,sector
Mandela,financial
Mandela,market
Mandela,well-placed
Mandela,play
Mandela,important
Mandela,part
Mandela,allocation
Mandela,scarce
Mandela,fund
Mandela,give
Mandela,effect
Mandela,economic
Mandela,development
Mandela,programme
Mandela,however
Mandela,also
Mandela,necessary
Mandela,think
Mandela,new
Mandela,way
Mandela,meet
Mandela,challenge
Mandela,reconstruction
Mandela,development
Mandela,therefore
Mandela,welcome
Mandela,recent
Mandela,development
Mandela,provide
Mandela,creation
Mandela,community
Mandela,bank
Mandela,would
Mandela,also
Mandela,like
Mandela,encourage
Mandela,greater
Mandela,participation
Mandela,established
Mandela,financial
Mandela,institution
Mandela,important
Mandela,area
Mandela,black
Mandela,economic
Mandela,empowerment
Mandela,support
Mandela,development
Mandela,small
Mandela,medium
Mandela,business
Mandela,latter
Mandela,two
Mandela,area
Mandela,economic
Mandela,activity
Mandela,receive
Mandela,greatest
Mandela,attention
Mandela,government
Mandela,importance
Mandela,deracialising
Mandela,democratising
Mandela,economy
Mandela,creating
Mandela,job
Mandela,people
Mandela,need
Mandela,pay
Mandela,attention
Mandela,important
Mandela,matter
Mandela,consumer
Mandela,protection
Mandela,shield
Mandela,ordinary
Mandela,people
Mandela,country
Mandela,unscrupulous
Mandela,business
Mandela,practice
Mandela,must
